sample	treat	group	WB_Lcn2_brain	WB_Cxcl10_brain	WB_Ccl5_brain	qPCR_Lcn2	qPCR_Mmp3	qPCR_Cxcl10	qPCR_H2-M2	qPCR_C3	qPCR_Ccl2	qPCR_Ccl5	qPCR_Wisp2	qPCR_Ccl12	qPCR_Glra2	qPCR_Btg2	qPCR_Fos	qPCR_Nsun3
CTL_1	Ctrl	ctrl	1.00	1.00	1.00	1	1	1	1	1	1	1	1	1	0.886	1.028	0.954	0.718
CTL_2	Ctrl	ctrl	0.71	0.68	1.43	1.639	0.595	1.450	0.701	0.863	1.119	0.878	0.827	1.283	1.040	1.161	1.293	0.997
CTL_3	Ctrl	ctrl	0.89	0.92	1.97	1.036	0.566	0.874	0.522	1.318	0.745	0.724	0.818	1.112	1.174	1.051	1.181	1.152
CTL_4	Ctrl	ctrl	8.80	0.75	1.65	1.095	0.892	1.454	1.171	0.647	1.097	0.963	0.905	1.421	1.014	0.821	0.863	1.333
epm2a_1	Treat	epm2a	5.33	80.74	5.04	143.497	1.956	22.165	3.253	11.461	7.252	11.118	5.549	5.097	1.297	0.591	0.810	1.281
epm2a_2	Treat	epm2a	5.90	116.99	5.83	160.570	2.734	21.153	8.607	16.491	8.103	12.879	9.048	4.157	1.386	0.564	0.778	1.295
epm2a_3	Treat	epm2a	5.13	49.01	8.70	149.627	1.484	22.324	7.469	15.998	8.752	13.181	6.037	4.755	0.953	0.378	0.523	0.984
epm2b_1	Treat	epm2b	6.44	93.48	6.01	132.703	2.106	22.966	6.664	13.475	8.198	12.289	5.854	4.261	1.073	0.875	0.878	1.073
epm2b_2	Treat	epm2b	8.11	137.78	10.61	108.725	1.490	19.483	3.629	11.145	7.910	10.169	3.567	3.550	1.463	0.813	0.900	1.725
epm2b_3	Treat	epm2b	7.16	203.79	7.20	120.376	1.884	21.773	4.481	12.458	7.389	12.014	3.978	5.330	1.561	0.901	1.155	1.315
epm2b_4	Treat	epm2b	7.50	150.00	8.20	142.245	3.675	23.917	8.052	18.778	9.358	13.696	7.143	5.167	1.603	0.728	0.845	1.627
