	CTL_1	CTL_2	CTL_3	CTL_4	epm2a_1	epm2a_2	epm2a_3	epm2b_1	epm2b_2	epm2b_3	epm2b_4
ENSMUSG00000102693	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000064842	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051951	497	687	645	585	563	533	478	345	450	517	415
ENSMUSG00000102851	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103377	0	0	0	0	1	1	2	0	0	0	2
ENSMUSG00000104017	0	2	0	0	0	4	0	2	1	2	0
ENSMUSG00000103025	0	1	0	2	2	0	1	0	1	1	0
ENSMUSG00000089699	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000103201	0	0	0	1	0	1	3	2	2	1	1
ENSMUSG00000103147	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103161	1	1	0	1	0	0	0	1	0	0	1
ENSMUSG00000102331	9	10	7	8	6	9	5	6	8	8	15
ENSMUSG00000102348	5	3	3	4	6	9	9	5	6	5	8
ENSMUSG00000102592	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088333	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102343	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025900	7	2	1	2	6	4	3	2	4	3	6
ENSMUSG00000102948	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104123	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025902	45	38	44	31	59	49	51	45	34	31	61
ENSMUSG00000104238	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102269	3	0	3	4	0	2	0	1	2	0	0
ENSMUSG00000096126	0	0	1	0	0	0	0	0	2	0	0
ENSMUSG00000103003	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104328	0	0	0	0	0	0	1	0	1	0	0
ENSMUSG00000102735	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000098104	0	2	0	1	1	1	1	0	1	1	1
ENSMUSG00000102175	1	0	0	2	0	0	0	0	1	0	0
ENSMUSG00000088000	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103265	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103922	1	0	0	1	0	3	0	1	0	1	3
ENSMUSG00000033845	436	354	341	367	312	405	439	294	365	392	368
ENSMUSG00000102275	5	1	4	3	5	2	0	1	3	4	2
ENSMUSG00000025903	418	445	380	396	401	431	407	290	336	362	321
ENSMUSG00000104217	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033813	441	475	440	455	471	492	479	307	445	418	399
ENSMUSG00000062588	1	0	0	0	1	0	0	0	0	2	0
ENSMUSG00000103280	25	33	26	24	29	35	33	18	23	29	31
ENSMUSG00000002459	300	252	253	250	266	279	316	222	271	253	238
ENSMUSG00000091305	0	1	1	0	0	0	1	3	1	0	2
ENSMUSG00000102653	2	1	1	2	0	4	2	0	0	0	1
ENSMUSG00000085623	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000091665	1	0	0	0	1	0	1	1	0	1	0
ENSMUSG00000033793	2740	2693	2537	2683	2624	2679	2673	2005	2657	2629	2478
ENSMUSG00000104352	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104046	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000102907	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000025905	269	269	225	197	164	191	195	122	212	187	177
ENSMUSG00000103936	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000093015	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103519	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000033774	18	19	23	10	14	18	22	15	25	15	19
ENSMUSG00000103090	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025907	2036	2204	1911	1932	1943	2008	1965	1447	1808	1922	1777
ENSMUSG00000090031	126	78	69	88	78	98	60	62	73	83	57
ENSMUSG00000087247	2	0	1	0	0	1	0	0	0	0	0
ENSMUSG00000103355	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102706	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103845	14	21	18	19	10	11	16	9	15	18	15
ENSMUSG00000033740	476	544	491	544	423	566	489	329	343	378	450
ENSMUSG00000103329	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104385	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102135	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000103282	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102534	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102213	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103629	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000051285	2073	2267	1867	1958	1731	1998	1910	1546	1867	1916	1776
ENSMUSG00000098201	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103509	107	100	76	83	94	131	75	54	74	85	71
ENSMUSG00000048538	0	0	0	0	0	0	2	0	0	0	1
ENSMUSG00000103709	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077244	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102768	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097797	18	10	14	12	9	8	6	10	7	14	16
ENSMUSG00000103498	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103067	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102320	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104226	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103903	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103557	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025909	422	495	462	434	407	426	402	299	384	407	370
ENSMUSG00000102647	3	2	4	1	3	2	2	3	2	2	2
ENSMUSG00000086235	1	0	0	0	0	0	0	0	1	0	1
ENSMUSG00000102253	0	0	1	0	0	0	0	0	3	0	0
ENSMUSG00000093970	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103884	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000084353	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103933	0	0	0	0	0	2	1	0	1	0	1
ENSMUSG00000076135	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000086195	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104504	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000066693	0	0	0	0	0	2	1	0	0	0	1
ENSMUSG00000102316	2	0	0	0	1	0	0	0	1	0	1
ENSMUSG00000103819	0	0	1	0	0	0	0	0	0	0	1
ENSMUSG00000102871	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101571	0	1	0	0	0	0	0	0	0	0	0
ENSMUSG00000104428	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102272	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000065625	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103411	1	0	0	0	0	1	0	0	1	0	0
ENSMUSG00000061024	189	201	182	211	217	191	259	213	215	236	254
ENSMUSG00000025911	309	278	235	274	222	272	325	268	299	308	258
ENSMUSG00000079671	6	9	5	5	7	16	3	11	12	8	6
ENSMUSG00000081441	0	1	2	1	0	0	0	0	0	0	1
ENSMUSG00000067879	3821	3601	3446	3655	3531	3752	4034	3003	3717	3699	3616
ENSMUSG00000099827	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025912	135	130	134	100	124	130	112	75	98	122	99
ENSMUSG00000045210	1345	1507	1291	1254	1308	1375	1333	944	1209	1276	1123
ENSMUSG00000097893	4	2	3	2	1	2	0	1	2	1	1
ENSMUSG00000025915	306	316	271	269	282	325	282	233	315	332	293
ENSMUSG00000046334	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000088916	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000046101	42	25	21	28	16	14	16	19	25	30	28
ENSMUSG00000098234	126	123	111	128	118	97	163	109	159	150	165
ENSMUSG00000093178	5	1	0	0	0	3	0	2	3	1	0
ENSMUSG00000099032	14	15	6	5	5	14	17	9	9	9	10
ENSMUSG00000104025	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025916	13	6	14	11	7	11	5	4	10	12	11
ENSMUSG00000087199	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000095780	0	0	1	0	0	0	0	0	0	0	0
ENSMUSG00000025917	1120	1040	1015	1055	1034	1076	1141	809	1131	1057	1128
ENSMUSG00000056763	513	499	400	395	478	543	445	350	439	453	446
ENSMUSG00000102356	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000067851	2038	2245	2053	1894	1979	2228	2053	1414	1793	2000	1769
ENSMUSG00000088153	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102556	0	0	0	0	1	1	1	0	0	0	1
ENSMUSG00000042501	41	28	13	27	42	45	29	16	22	31	19
ENSMUSG00000103810	0	0	0	0	0	2	0	0	0	0	0
ENSMUSG00000083422	0	0	0	0	0	0	0	2	0	0	0
ENSMUSG00000094979	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000081417	0	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000103448	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100212	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100648	0	0	0	0	1	0	0	0	0	0	0
ENSMUSG00000088585	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000048960	1326	1390	1270	1297	1215	1356	1263	774	1036	1040	1021
ENSMUSG00000077318	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101827	0	0	0	0	0	0	0	0	0	1	0
ENSMUSG00000103494	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000057715	1289	1353	1181	1145	1122	1164	1065	834	1112	1093	1059
ENSMUSG00000103825	2	0	1	0	0	1	0	1	2	1	1
ENSMUSG00000099845	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103561	0	0	0	0	0	0	0	1	0	0	0
ENSMUSG00000101610	0	0	0	1	0	1	0	0	0	0	0
ENSMUSG00000093864	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000098555	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097628	0	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000098163	0	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000097171	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000101314	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000016918	663	697	581	536	550	672	586	416	515	542	591
ENSMUSG00000025938	163	141	101	129	133	165	126	87	70	121	90
ENSMUSG00000104518	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000069620	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000099498	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000042414	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000005886	1624	1642	1519	1452	1618	1690	1697	1299	1500	1484	1409
ENSMUSG00000103506	1	0	1	3	1	1	1	0	1	0	1
ENSMUSG00000103495	0	0	0	0	0	0	1	1	1	0	0
ENSMUSG00000099183	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102639	0	0	0	0	0	0	1	0	1	0	0
ENSMUSG00000104170	1	0	1	1	1	1	0	0	0	0	0
ENSMUSG00000087782	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000103085	6	8	5	2	7	4	5	4	6	4	8
ENSMUSG00000102664	5	4	1	2	1	1	4	1	4	5	1
ENSMUSG00000101476	0	0	2	0	0	1	1	0	0	0	1
ENSMUSG00000101171	1	0	0	0	0	0	0	0	1	0	0
ENSMUSG00000025935	536	514	435	459	524	576	546	397	460	504	488
ENSMUSG00000025937	295	320	258	281	227	302	220	237	238	302	281
ENSMUSG00000102982	0	0	1	1	0	0	0	3	1	0	1
ENSMUSG00000067813	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077368	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000097711	1	1	1	1	4	1	1	0	1	2	1
ENSMUSG00000102166	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000089358	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000104209	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000025932	124	128	121	105	121	130	124	95	119	127	102
ENSMUSG00000095853	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000102588	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000054493	14	10	10	19	9	13	15	15	9	12	7
ENSMUSG00000025930	9	6	15	20	15	18	11	13	12	13	10
ENSMUSG00000103492	20	12	24	9	11	21	16	19	15	9	17
ENSMUSG00000081201	1	0	0	0	0	1	0	0	0	0	0
ENSMUSG00000082193	2	0	0	0	0	0	1	0	0	0	0
ENSMUSG00000032769	8	10	7	10	6	2	6	4	6	5	4
ENSMUSG00000088159	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000073737	1	0	0	1	1	2	0	0	1	1	1
ENSMUSG00000092083	747	716	583	598	623	737	537	407	495	585	494
ENSMUSG00000102937	0	0	0	0	1	0	4	1	1	2	0
ENSMUSG00000104149	0	0	0	1	1	0	0	1	0	3	1
ENSMUSG00000088829	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000077377	0	0	0	1	0	0	0	0	0	0	0
ENSMUSG00000101652	0	0	0	0	0	0	0	0	0	0	0
ENSMUSG00000100814	0	0	0	0	0	0	0	0	0	0	0
