	ctrl1_Chap	ctrl1_noChap	ctrl2_Chap	ctrl2_noChap	ctrl3_Chap	ctrl3_noChap	pat1_Chap	pat1_noChap	pat2_Chap	pat2_noChap	pat3_Chap	pat3_noChap
ENSG00000225972	796	638	1	2	522	182	0	1	1	0	3	6
ENSG00000225630	202	320	339	394	187	214	519	531	293	356	611	590
ENSG00000237973	494	1044	56	48	3565	2687	75	63	53	59	120	86
ENSG00000248527	1145	1523	1784	1954	1230	995	2571	2331	1777	1987	3387	3081
ENSG00000228794	57	84	151	110	82	69	99	156	71	84	104	134
ENSG00000223764	60	147	174	202	4	9	246	334	23	48	166	230
ENSG00000187634	131	203	297	263	64	52	379	442	97	106	330	316
ENSG00000268179	12	11	23	36	0	1	50	89	6	6	27	54
ENSG00000188976	802	787	862	622	593	463	939	912	606	521	954	827
ENSG00000187961	93	137	181	167	155	110	249	226	104	97	234	177
ENSG00000272512	43	75	68	90	38	51	47	80	52	38	89	45
ENSG00000188290	92	192	59	85	164	128	58	186	50	51	99	51
ENSG00000187608	99	93	155	99	143	112	108	69	65	63	154	136
ENSG00000188157	1359	1339	2483	2026	2572	1597	1973	1732	753	962	1827	1488
ENSG00000131591	59	80	107	55	65	42	122	97	44	65	97	62
ENSG00000078808	1778	1844	3004	2177	1637	1154	2503	2270	2149	2161	2907	2678
ENSG00000176022	277	246	483	378	400	299	353	355	286	287	378	377
ENSG00000160087	582	513	698	475	467	277	606	587	378	464	613	532
ENSG00000162572	53	60	76	75	38	31	122	120	57	47	102	76
ENSG00000131584	500	614	655	503	467	299	1055	824	359	409	695	513
ENSG00000169972	84	98	143	89	74	51	132	103	74	74	165	97
ENSG00000127054	847	804	1135	783	754	608	1260	1182	917	798	1236	1002
ENSG00000240731	11	11	14	15	9	13	34	21	13	9	39	10
ENSG00000224051	172	143	214	160	138	97	142	164	144	153	234	186
ENSG00000107404	543	565	765	600	633	509	843	718	572	595	996	714
ENSG00000162576	4417	5167	5268	4393	3433	2282	6123	6781	4223	4883	7722	7943
ENSG00000175756	346	293	465	312	358	222	367	341	324	358	511	399
ENSG00000221978	2134	3613	3528	2824	2026	1781	5199	5184	2728	3205	4730	4460
ENSG00000224870	106	145	215	99	76	97	114	120	95	98	252	135
ENSG00000242485	444	389	504	372	410	236	473	408	439	405	563	529
ENSG00000235098	30	25	20	15	2	5	8	2	11	6	41	21
ENSG00000179403	135	114	106	84	71	32	96	80	40	51	62	49
ENSG00000215915	25	28	0	2	0	1	0	2	1	1	1	5
ENSG00000160072	226	454	242	213	176	117	376	458	171	128	256	234
ENSG00000197785	273	246	326	238	262	112	403	296	217	168	333	249
ENSG00000205090	19	31	28	18	19	15	24	21	16	26	35	22
ENSG00000160075	694	734	1248	955	822	560	853	782	925	975	1333	1253
ENSG00000228594	107	80	202	132	156	112	165	137	184	121	296	172
